식당,요일열,표행,메뉴텍스트,추정_재료,알레르기_요약
학생식당,월(03.30),0,조식 [천원의 아침밥] *재학생만 해당 08:20~10:00 든든한제육&돈까스도시락,"돼지고기, 닭고기, 밀가루, 쌀",돼지고기 — 제육 / 닭고기 — 돈까스 (튀김옷에 닭고기 사용 가능성) / 밀 — 돈까스 (튀김옷)
학생식당,월(03.30),1,중식 [정식: 4500원] 11:30~13:30 김밥맛볶음밥 팽이버섯된장국 김구이 계란장조림 실곤약야채무침 맛김치,"쌀, 계란, 대두, 밀, 팽이버섯, 김, 곤약, 채소","계란 — 계란장조림 / 대두 — 된장국 (된장), 간장 (장조림, 볶음밥) / 밀 — 김밥맛볶음밥 (소스류에 포함 가능성), 간장 (장조림, 볶음밥)"
학생식당,화(03.31),0,조식 [천원의 아침밥] *재학생만 해당 08:20~10:00 새콤달콤유부초밥 에그치즈토마토샌드위치 홈요거트,"쌀, 유부, 계란, 치즈, 토마토, 밀, 우유","계란 — 에그치즈토마토샌드위치 / 토마토 — 에그치즈토마토샌드위치 / 밀 — 샌드위치 (빵) / 우유 — 치즈, 홈요거트"
학생식당,화(03.31),1,중식 [정식: 4500원] 11:30~13:30 제육덮밥 무채맑은국 미니메밀전병구이 콩나물무침 맛김치,"돼지고기, 쌀, 메밀, 콩나물, 채소",돼지고기 — 제육덮밥 / 메밀 — 미니메밀전병구이
학생식당,수(04.01),0,조식 [천원의 아침밥] *재학생만 해당 08:20~10:00 콰트로고기정찬도시락,"돼지고기, 소고기, 닭고기, 쌀",돼지고기 — 한돈(돼지고기)이 포함될 가능성 / 소고기 — 고기 정찬에 소고기가 포함될 가능성 / 닭고기 — 고기 정찬에 닭고기가 포함될 가능성
학생식당,수(04.01),1,중식 [정식: 4500원] 11:30~13:30 쌀밥 닭곰탕 연두부/양념장 볶음멸치조림 마늘종장아찌무침 깍두기,"쌀, 닭고기, 두부, 멸치, 마늘, 무",닭고기 — 닭곰탕에 닭고기가 포함됨 / 대두 — 연두부에 대두가 포함됨 / 멸치 — 볶음멸치조림에 멸치가 포함됨 / 쇠고기 — 양념장에 쇠고기가 포함될 가능성
학생식당,목(04.02),0,조식 [천원의 아침밥] *재학생만 해당 08:20~10:00 한돈가츠동덮밥도시락 딸기요플레,"돼지고기, 쌀, 딸기, 우유",돼지고기 — 한돈가츠에 돼지고기가 포함됨 / 밀 — 가츠(돈까스) 튀김옷에 밀가루가 사용될 가능성 / 대두 — 덮밥 소스에 대두(간장 등)가 포함될 가능성 / 딸기 — 딸기 요플레에 딸기가 포함됨 / 우유 — 요플레에 우유가 포함됨
학생식당,목(04.02),1,중식 [정식: 4500원] 11:30~13:30 쌀밥 돼지찌개 감자크로켓 오이생채 어묵채볶음 맛김치,"쌀, 돼지고기, 감자, 오이, 어묵, 배추",돼지고기 — 돼지찌개에 돼지고기가 포함됨 / 밀 — 감자크로켓 튀김옷에 밀가루가 사용될 가능성 / 대두 — 어묵에 대두가 포함될 가능성 / 쇠고기 — 맛김치 양념에 쇠고기가 포함될 가능성
학생식당,금(04.03),0,조식 [천원의 아침밥] *재학생만 해당 08:20~10:00 다찬스페셜정식도시락 요구르트,"쌀, 다양한 반찬, 요구르트",우유 — 요구르트 때문에 / 대두 — 다찬스페셜정식도시락에 포함될 가능성 때문에 / 밀 — 다찬스페셜정식도시락에 포함될 가능성 때문에
학생식당,금(04.03),1,중식 [정식: 4500원] 11:30~13:30 쌀밥 짬뽕순두부찌개 한입돈까스 다시마부각 쥐어채볶음 깍두기,"쌀, 순두부, 돼지고기, 다시마, 쥐치, 채소, 배추",돼지고기 — 한입돈까스 때문에 / 밀 — 한입돈까스 튀김옷 때문에 / 대두 — 한입돈까스 소스 또는 순두부찌개 때문에 / 고등어 — 쥐어채볶음에 포함될 가능성 때문에 / 조개류 — 짬뽕순두부찌개에 포함될 가능성 때문에
